Area,Parent Task,Task,Dataset,Best method name,Primary metric,Metric first reported value,2013,2014,2015,2016,2017,2018,2019,Metric first reported value scaled,2013 scaled,2014 scaled,2015 scaled,2016 scaled,2017 scaled,2018 scaled,2019 scaled
Computer Vision,Object Localization,Weakly-Supervised Object Localization,ILSVRC 2016,SPG,Top-5 Error,40,,,,,,40,40,9.89,,,,,,12.39,9.89
Computer Vision,Image Classification,Fine-Grained Image Classification,Caltech-101,AutoAugment,Top-1 Error Rate,0.13,,,,,,0.13,0.13,0.03,,,,,,0.03,0.03
Computer Vision,Image Classification,Fine-Grained Image Classification,Oxford-IIIT Pets,AutoAugment,Top-1 Error Rate,0.11,,,,,,0.11,0.11,0.02,,,,,,0.03,0.02
Computer Vision,Image Generation,Text-to-Image Generation,Oxford 102 Flowers,StackGAN-v2,FID,48.68,,,,,48.68,48.68,48.68,12.04,,,,,15.08,15.08,12.04
Computer Vision,Pose Estimation,Head Pose Estimation,BIWI,Multi-Loss ResNet50,MAE,19.07,,,19.07,19.07,4.9,4.9,4.9,4.71,,,100.00,100.00,1.51,1.51,1.21
Computer Vision,Pose Estimation,Head Pose Estimation,AFLW2000,Multi-Loss ResNet50,MAE,7.39,,,7.39,7.39,6.16,6.16,6.16,1.82,,,38.59,38.62,1.90,1.90,1.52
Computer Vision,Facial Recognition and Modelling,Age Estimation,FGNET,CMAAE-OR,MAE,3.62,,,,,,3.62,3.62,0.89,,,,,,1.12,0.89
Computer Vision,Facial Recognition and Modelling,Age Estimation,MORPH,CMAAE-OR,MAE,1.48,,,,,,1.48,1.48,0.36,,,,,,0.45,0.36
Computer Vision,Facial Recognition and Modelling,Age Estimation,ChaLearn 2015,DLDL+VGG-Face,MAE,3.51,,,,3.51,3.51,3.51,3.51,0.86,,,,18.23,1.08,1.08,0.86
Computer Vision,Dense Pixel Correspondence Estimation,Dense Pixel Correspondence Estimation,HPatches,DGC-Net aff+tps+homo,Viewpoint I AEPE,5.84,,,5.84,5.84,4.43,1.55,1.55,1.44,,,30.44,30.48,1.37,0.47,0.38
Computer Vision,Facial Recognition and Modelling,Face Anti-Spoofing,MSU-MFSD,GFA-CNN,Equal Error Rate,0.11,,,0.11,0.11,0.11,0.11,0.08,0.02,,,0.32,0.37,0.03,0.03,0.01
Computer Vision,Facial Recognition and Modelling,Facial Beauty Prediction,SCUT-FBP,CNN features + Bayesian ridge regression,MAE,0.39,,,,,,0.26,0.26,0.09,,,,,,0.07,0.06
Computer Vision,Instance Segmentation,One-Shot Instance Segmentation,COCO,Siamese Mask R-CNN,AP 0.5,14.5,,,,,,14.5,14.5,3.58,,,,,,4.49,3.58
