Area,Parent Task,Task,Dataset,Best method name,Primary metric,Metric first reported value,2013,2014,2015,2016,2017,2018,2019,Metric first reported value scaled,2013 scaled,2014 scaled,2015 scaled,2016 scaled,2017 scaled,2018 scaled,2019 scaled
Natural Language Processing,Machine Translation,Machine Translation,WMT2016 Russian-English,Attentional encoder-decoder + BPE,BLEU score,28,,,,28,28,28,28,28.12,,,,28.42,28.53,28.09,28.09
Natural Language Processing,Language Modelling,Language Modelling,Sequential MNIST,Trellis Network,Accuracy,99.2,,,,,,99.2,99.2,100,,,,,,100,100
Natural Language Processing,Question Answering,Question Answering,SQuAD1.1,BERT (ensemble),EM,67.9,,,,75.03,82.28,87.43,87.43,68.4,,,,76.66,84.12,88.11,88.11
Natural Language Processing,Question Answering,Question Answering,SQuAD2.0,BERT + DAE + AoA (ensemble),EM,70.3,,,,,71.32,83.54,87.15,70.82,,,,,72.9,84.18,87.83
Natural Language Processing,Question Answering,Question Answering,CNN / Daily Mail,GA+MAGE (32),CNN,69.4,,,69.4,77.9,78.6,78.6,78.6,69.91,,,70.85,79.61,80.35,79.19,79.19
Natural Language Processing,Question Answering,Question Answering,WikiQA,HyperQA,MAP,0.6,,0.65,0.69,0.71,0.71,0.71,0.71,0.45,,0.28,0.28,0.43,0.57,0.53,0.53
Natural Language Processing,Question Answering,Question Answering,bAbi,QRN,Accuracy (trained on 10k),0.93,,,0.93,1,1,1,1,0.79,,,0.52,0.73,0.87,0.82,0.82
Natural Language Processing,Question Answering,Question Answering,Children's Book Test,GPT-2,Accuracy-CN,0.69,,,,0.72,0.72,0.72,0.93,0.55,,,,0.44,0.58,0.54,0.75
Natural Language Processing,Question Answering,Question Answering,CoQA,BERT Large Augmented (single model),In-domain,67,,,,,,82.5,82.5,67.49,,,,,,83.13,83.13
Natural Language Processing,Question Answering,Question Answering,QASent,Attentive LSTM,MAP,0.68,,0.71,0.73,0.73,0.73,0.73,0.73,0.54,,0.35,0.32,0.45,0.59,0.55,0.55
Natural Language Processing,Question Answering,Question Answering,NarrativeQA,ConZNet,Rouge-L,36.74,,,,36.74,36.74,46.67,46.67,36.94,,,,37.39,37.48,46.94,46.94
Natural Language Processing,Question Answering,Question Answering,SemEvalCQA,HyperQA,P@1,0.75,,,0.75,0.76,0.81,0.81,0.81,0.61,,,0.34,0.48,0.68,0.63,0.63
Natural Language Processing,Question Answering,Question Answering,YahooCQA,HyperQA,P@1,0.57,,,,0.57,0.68,0.68,0.68,0.42,,,,0.29,0.54,0.49,0.49
Natural Language Processing,Question Answering,Question Answering,TriviaQA,MemoReader,EM,46.94,,,,,66.37,67.21,67.21,47.24,,,,,67.83,67.69,67.69
Natural Language Processing,Question Answering,Question Answering,MS MARCO,Masque Q&A Style,Rouge-L,23.96,,,,23.96,23.96,52.01,52.2,24.04,,,,24.28,24.39,52.34,52.53
Natural Language Processing,Question Answering,Question Answering,NewsQA,DecaProp,F1,56.1,,,,,56.1,66.3,66.3,56.49,,,,,57.31,66.77,66.77
Natural Language Processing,Question Answering,Question Answering,TrecQA,HyperQA,MAP,0.71,,0.71,0.71,0.76,0.77,0.77,0.77,0.57,,0.35,0.3,0.48,0.64,0.59,0.59
Natural Language Processing,Question Answering,Question Answering,WikiHop,CFC,Test,42.9,,,,,42.9,59.3,70.6,43.16,,,,,43.79,59.7,71.11
Natural Language Processing,Question Answering,Question Answering,Story Cloze Test,Finetuned Transformer LM,Accuracy,78.7,,,,78.7,78.7,78.7,78.7,79.3,,,,80.43,80.46,79.3,79.3
Natural Language Processing,Question Answering,Question Answering,WebQuestions,Memory Networks (ensemble),F1,0.3,,0.39,0.42,0.42,0.42,0.42,0.42,0.15,,0,0,0.13,0.28,0.23,0.23
Natural Language Processing,Question Answering,Question Answering,CliCR,Gated-Attention Reader,F1,33.9,,,,,,33.9,33.9,34.07,,,,,,34.05,34.05
Natural Language Processing,Question Answering,Question Answering,RACE,Finetuned Transformer LM,RACE-m,60.2,,,,,,60.2,60.2,60.63,,,,,,60.61,60.61
Natural Language Processing,Question Answering,Question Answering,Reverb,Weakly Supervised Embeddings,Accuracy,0.73,,0.73,0.73,0.73,0.73,0.73,0.73,0.59,,0.37,0.32,0.45,0.59,0.55,0.55
Natural Language Processing,Question Answering,Question Answering,MCTest-500,Parallel-Hierarchical,Accuracy,0.71,,,,0.71,0.71,0.71,0.71,0.57,,,,0.43,0.57,0.53,0.53
Natural Language Processing,Question Answering,Question Answering,Quora Question Pairs,BERT (single model),Accuracy,0.72,,,,,,0.72,0.72,0.58,,,,,,0.54,0.54
Natural Language Processing,Question Answering,Question Answering,QuAC,FlowQA (single model),F1,64.1,,,,,,64.1,64.1,64.56,,,,,,64.55,64.55
Natural Language Processing,Question Answering,Question Answering,Natural Questions,BERT-joint,F1 (Long),66.2,,,,,,,66.2,66.68,,,,,,,66.67
Natural Language Processing,Question Answering,Question Answering,SimpleQuestions,Memory Networks (ensemble),F1,0.64,,,0.64,0.64,0.64,0.64,0.64,0.49,,,0.23,0.36,0.5,0.45,0.45
Natural Language Processing,Question Answering,Question Answering,MCTest-160,"syntax, frame, coreference, and word embedding features",Accuracy,0.75,,,,0.75,0.75,0.75,0.75,0.61,,,,0.47,0.61,0.57,0.57
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,SST-2 Binary classification,MT-DNN,Accuracy,85.4,85.4,85.4,87.8,89.7,93.2,93.2,95.6,86.07,100,92.46,89.75,91.71,95.31,93.94,96.36
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,SST-5 Fine-grained classification,EDD-LG (shared),Accuracy,45.7,45.7,49.6,49.6,49.6,53.7,64.4,64.4,45.99,10.59,53.52,50.51,50.58,54.85,64.85,64.85
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,IMDb,ULMFiT,Accuracy,92.33,,92.33,92.33,94.1,94.99,95.4,95.4,93.06,,100,94.4,96.23,97.14,96.16,96.16
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,MR,MEAN,Accuracy,78.26,,,,,78.26,84.5,84.5,78.86,,,,,80.01,85.15,85.15
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,Amazon Review Full,DRNN,Accuracy,60.2,,,,60.2,60.2,64.43,64.43,60.63,,,,61.45,61.51,64.88,64.88
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,Amazon Review Polarity,DRNN,Accuracy,94.6,,,,94.6,94.6,96.49,96.49,95.36,,,,96.74,96.74,97.26,97.26
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,Multi-Domain Sentiment Dataset,Distributional Correspondence Indexing,DVD,75.4,,,76.57,76.57,76.57,81,81,75.97,,,78.21,78.24,78.28,81.62,81.62
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,CR,Block-sparse LSTM,Accuracy,92.2,,,,,92.2,92.2,92.2,92.93,,,,,94.28,92.93,92.93
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,SemEval,LSTMs+CNNs ensemble with multiple conv. ops ,F1-score,0.69,,,,,0.69,0.69,0.69,0.55,,,,,0.55,0.5,0.5
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,MPQA,USE_T+DAN (w2v w.e.) ,Accuracy,88.14,,,,,,88.14,88.14,88.83,,,,,,88.83,88.83
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,Sogou News,fastText,Accuracy,96.8,,,,96.8,96.8,96.8,96.8,97.58,,,,98.99,99,97.58,97.58
Natural Language Processing,Text Classification,Text Classification,Yahoo! Answers,DRNN,Accuracy,72.3,,,,72.3,72.3,76.26,76.26,72.84,,,,73.86,73.9,76.83,76.83
Natural Language Processing,Text Classification,Text Classification,Ohsumed,SGCN,Accuracy,36.2,,,,,36.2,68.36,68.5,36.4,,,,,36.93,68.85,68.99
Natural Language Processing,Text Classification,Text Classification,R52,SGCN,Accuracy,93.56,,,,,,93.56,94,94.31,,,,,,94.3,94.75
Natural Language Processing,Text Classification,Text Classification,20NEWS,SGCN,Accuracy,86.34,,,,,,86.34,88.5,87.02,,,,,,87.01,89.19
Natural Language Processing,Text Classification,Text Classification,R8,SGCN,Accuracy,97.07,,,,,,97.07,97.2,97.85,,,,,,97.85,97.98
Natural Language Processing,Text Classification,Text Classification,Sogou News,CCCapsNet,Accuracy,97.25,,,,,,97.25,97.25,98.03,,,,,,98.03,98.03
Natural Language Processing,Text Classification,Text Classification,IMDb,L MIXED,Accuracy,95.68,,,,,,,95.68,96.45,,,,,,,96.44
Natural Language Processing,Natural Language Inference,Natural Language Inference,SNLI,MT-DNN,% Test Accuracy,78.2,,,86.1,88.6,89.3,90.1,91.1,78.8,,,88,90.58,91.31,90.81,91.82
Natural Language Processing,Natural Language Inference,Natural Language Inference,MultiNLI,MT-DNN,Matched,71.4,,,,,,73.9,86.7,71.93,,,,,,74.45,87.38
Natural Language Processing,Natural Language Inference,Natural Language Inference,SciTail,MT-DNN,Accuracy,83.3,,,,,83.3,92,94.1,83.95,,,,,85.17,92.73,94.85
Natural Language Processing,Natural Language Inference,Natural Language Inference,V-SNLI,V-BiMPM,Accuracy,86.99,,,,,,86.99,86.99,87.67,,,,,,87.67,87.67
Natural Language Processing,Natural Language Inference,Natural Language Inference,Quora Question Pairs,aESIM,Accuracy,88.01,,,,,,88.01,88.01,88.7,,,,,,88.7,88.7
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),CoNLL 2003 (English),CNN Large + fine-tune,F1,91.21,,,,91.21,91.93,93.09,93.5,91.93,,,,93.26,94.01,93.83,94.24
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),Ontonotes v5 (English),Flair embeddings,F1,86.99,,,,,86.99,89.71,89.71,87.67,,,,,88.95,90.42,90.42
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),JNLPBA,CollaboNet,F1,78.58,,,,,,78.58,78.58,79.18,,,,,,79.17,79.17
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),BC5CDR,SciBERT (SciVocab),F1,87.12,,,,,,87.12,88.94,87.8,,,,,,87.8,89.64
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),Long-tail emerging entities,Flair embeddings,F1,40.78,,,,,40.78,50.2,50.2,41.02,,,,,41.62,50.51,50.51
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),SciERC,SciBERT (SciVocab),F1,64.2,,,,,,64.2,65.5,64.66,,,,,,64.65,65.96
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),NCBI-disease,SciBERT (Base Vocab),F1,86.91,,,,,,,86.91,87.59,,,,,,,87.59
Natural Language Processing,Text Generation,Text Generation,EMNLP2017 WMT,LeakGAN,BLEU-2,0.86,,,,0.86,0.96,0.96,0.96,0.72,,,,0.58,0.83,0.78,0.78
Natural Language Processing,Text Generation,Text Generation,COCO Captions,LeakGAN,BLEU-2,0.83,,,,0.83,0.95,0.95,0.95,0.69,,,,0.55,0.82,0.77,0.77
Natural Language Processing,Text Generation,Text Generation,Chinese Poems,LeakGAN,BLEU-2,0.74,,,,0.74,0.88,0.88,0.88,0.6,,,,0.46,0.75,0.7,0.7
Natural Language Processing,Text Generation,Text Generation,CMU-SE,STWGAN-GP,BLEU-3,0.62,,,,,,0.62,0.62,0.47,,,,,,0.43,0.43
Natural Language Processing,Text Generation,Text Generation,DailyDialog,AEM+Attention,BLEU-1,14.17,,,,,,14.17,14.17,14.15,,,,,,14.12,14.12
Natural Language Processing,Text Generation,Text Generation,LDC2016E25,Graph2Seq,BLEU,22,,,,,,22,22,22.06,,,,,,22.03,22.03
Natural Language Processing,Dependency Parsing,Dependency Parsing,Penn Treebank,CVT + Multi-Task,UAS,93.99,,,93.99,95.44,95.44,96.61,96.61,94.74,,,96.11,97.6,97.6,97.38,97.38
Natural Language Processing,Dependency Parsing,Dependency Parsing,GENIA - LAS,BiLSTM-CRF,F1,91.92,,,,,,91.92,91.92,92.65,,,,,,92.65,92.65
Natural Language Processing,Dependency Parsing,Dependency Parsing,GENIA - UAS,BiLSTM-CRF,F1,92.84,,,,,,92.84,92.84,93.58,,,,,,93.58,93.58
Natural Language Processing,Relation Extraction,Relation Extraction,TACRED,TRE,F1,65.1,,,,,65.1,66.4,67.4,65.57,,,,,66.53,66.87,67.88
Natural Language Processing,Relation Extraction,Relation Extraction,ChemProt,SciBERT (SciVocab),F1,76.12,,,,,,,76.12,76.7,,,,,,,76.69
Natural Language Processing,Relation Extraction,Relation Extraction,SciERC,SciBERT (SciVocab),F1,74.64,,,,,,,74.64,75.2,,,,,,,75.19
Natural Language Processing,Semantic Textual Similarity,Semantic Textual Similarity,SentEval,GenSen,MRPC,0.91,,,,,0.91,0.93,0.93,0.77,,,,,0.78,0.75,0.75
Natural Language Processing,Semantic Textual Similarity,Semantic Textual Similarity,STS Benchmark,USE_T,Pearson Correlation,0.78,,,,,,0.78,0.78,0.64,,,,,,0.6,0.6
Natural Language Processing,Part-Of-Speech Tagging,Part-Of-Speech Tagging,Penn Treebank,Meta BiLSTM,Accuracy,97.78,,,97.78,97.78,97.78,97.96,97.96,98.57,,,100,100,100,98.75,98.75
Natural Language Processing,Part-Of-Speech Tagging,Part-Of-Speech Tagging,UD,Adversarial Bi-LSTM,Avg accuracy,96.4,,,,96.4,96.73,96.73,96.73,97.17,,,,98.58,98.92,97.51,97.51
Natural Language Processing,Part-Of-Speech Tagging,Part-Of-Speech Tagging,Social media,GATE,Accuracy,,,,,,,,,,,,,,,,
Natural Language Processing,Semantic Parsing,Semantic Parsing,spider,Exact Set Matching,Accuracy,19.7,,,,,,19.7,19.7,19.74,,,,,,19.71,19.71
Natural Language Processing,Text Classification,Document Classification,WOS-11967,RMDL,Accuracy,86.07,,,,,86.07,91.59,91.59,86.74,,,,,88.01,92.31,92.31
Natural Language Processing,Text Classification,Document Classification,WOS-46985,RMDL,Accuracy,76.58,,,,,76.58,90.69,90.69,77.16,,,,,78.29,91.4,91.4
Natural Language Processing,Text Classification,Document Classification,WOS-5736,RMDL,Accuracy,90.93,,,,,90.93,93.57,93.57,91.65,,,,,92.98,94.31,94.31
Natural Language Processing,Text Classification,Document Classification,Reuters-21578,RMDL,Accuracy,90.69,,,,,,90.69,90.69,91.41,,,,,,91.4,91.4
Natural Language Processing,Text Classification,Document Classification,IMDb,RMDL,Accuracy,90.79,,,,,,90.79,90.79,91.51,,,,,,91.51,91.51
Natural Language Processing,Text Classification,Document Classification,20NEWS,RMDL,Accuracy,87.91,,,,,,87.91,87.91,88.6,,,,,,88.6,88.6
Natural Language Processing,Semantic Role Labeling,Semantic Role Labeling,OntoNotes,BiLSTM-Span (Ensemble),F1,81.7,,,,,82.7,87,87,82.33,,,,,84.55,87.68,87.68
Natural Language Processing,Semantic Role Labeling,Semantic Role Labeling,CoNLL 2005,BiLSTM-Span (Ensemble),F1,86.04,,,,,,88.5,88.5,86.71,,,,,,89.19,89.19
Natural Language Processing,Coreference Resolution,Coreference Resolution,CoNLL 2012,"(Lee et al., 2017)+ELMo",Avg F1,67.2,,,,,67.2,73,73,67.69,,,,,68.68,73.54,73.54
Natural Language Processing,Text Summarization,Text Summarization,GigaWord,FTSum_g,ROUGE-1,36.4,,,,36.4,37.27,37.27,37.27,36.6,,,,37.04,38.02,37.45,37.45
Natural Language Processing,Text Summarization,Text Summarization,DUC 2004 Task 1,EndDec+WFE,ROUGE-1,28.61,,,,28.97,32.28,32.28,32.28,28.73,,,,29.42,32.91,32.41,32.41
Natural Language Processing,Word Sense Disambiguation,Word Sense Disambiguation,SensEval 2,"SemCor+WNGT, vocabulary reduced, ensemble",F1,74.4,,,,74.4,74.4,75.15,75.15,74.96,,,,76.02,76.05,75.71,75.71
Natural Language Processing,Word Sense Disambiguation,Word Sense Disambiguation,SemEval 2013 Task 12,"SemCor+WNGT, vocabulary reduced, ensemble",F1,69.5,,,,69.5,69.5,72.63,72.63,70.02,,,,70.99,71.03,73.16,73.16
Natural Language Processing,Word Sense Disambiguation,Word Sense Disambiguation,SensEval 3 Task 1,"LSTMLP (T:SemCor, U:1K)",F1,71.8,,,,71.8,71.8,71.8,71.8,72.34,,,,73.35,73.39,72.33,72.33
Natural Language Processing,Word Sense Disambiguation,Word Sense Disambiguation,SemEval 2007 Task 7,"SemCor+WNGT, vocabulary reduced, ensemble",F1,84.3,,,,84.3,84.3,86.02,86.02,84.96,,,,86.17,86.19,86.69,86.69
Natural Language Processing,Word Sense Disambiguation,Word Sense Disambiguation,SemEval 2007 Task 17,"SemCor+WNGT, vocabulary reduced, ensemble",F1,64.2,,,,64.2,64.2,66.81,66.81,64.66,,,,65.56,65.6,67.29,67.29
Natural Language Processing,Word Sense Disambiguation,Word Sense Disambiguation,Knowledge-based:,WSD-TM,All,66.9,,,,,,66.9,66.9,67.39,,,,,,67.38,67.38
Natural Language Processing,Word Sense Disambiguation,Word Sense Disambiguation,SemEval 2015 Task 13,"SemCor+WNGT, vocabulary reduced, ensemble",F1,72.6,,,,,,74.46,74.46,73.14,,,,,,75.01,75.01
Natural Language Processing,Entity Linking,Entity Linking,WebQSP-WD,VCG,F1,0.73,,,,,,0.73,0.73,0.59,,,,,,0.55,0.55
Natural Language Processing,Text Summarization,Document Summarization,CNN / Daily Mail,BERTSUM+Transformer,ROUGE-1,31.1,,,,,31.1,41.22,43.25,31.25,,,,,31.7,41.44,43.49
Natural Language Processing,Relation Classification,Relation Classification,SemEval-2010 Task 8,TRE,F1,87.1,,,,,,,87.1,87.78,,,,,,,87.78
Natural Language Processing,Text Classification,Sentence Classification,SciCite,SciBERT,F1,77.2,,,,,77.2,82.6,84.9,77.79,,,,,78.92,83.23,85.56
Natural Language Processing,Text Classification,Sentence Classification,ACL-ARC,Structural-scaffolds,F1,53,,,,,,53,67.9,53.36,,,,,,53.34,68.39
Natural Language Processing,Text Classification,Sentence Classification,PubMed 20k RCT,Hierarchical Neural Networks,F1,92.6,,,,,,92.6,92.6,93.34,,,,,,93.33,93.33
Natural Language Processing,Text Classification,Sentence Classification,Paper Field,SciBERT (SciVocab),F1,64.07,,,,,,,64.07,64.53,,,,,,,64.52
Natural Language Processing,Text Classification,Sentence Classification,ScienceCite,SciBERT (SciVocab),F1,84.99,,,,,,,84.99,85.65,,,,,,,85.65
Natural Language Processing,Dialogue,Dialogue Generation,Ubuntu Dialogue (Activity),MrRNN Act.-Ent.,F1,11.43,,,,11.43,11.43,11.43,11.43,11.39,,,,11.43,11.55,11.35,11.35
Natural Language Processing,Dialogue,Dialogue Generation,Ubuntu Dialogue (Entity),MrRNN Act.-Ent.,F1,3.72,,,,3.72,3.72,3.72,3.72,3.6,,,,3.52,3.66,3.57,3.57
Natural Language Processing,Dialogue,Dialogue Generation,Ubuntu Dialogue (Tense),MrRNN Act.-Ent.,Accuracy,0.29,,,,0.29,0.29,0.29,0.29,0.14,,,,0,0.14,0.1,0.1
Natural Language Processing,Dialogue,Dialogue Generation,Ubuntu Dialogue (Cmd),MrRNN Act.-Ent.,Accuracy,0.95,,,,0.95,0.95,0.95,0.95,0.81,,,,0.68,0.82,0.77,0.77
Natural Language Processing,Dialogue,Dialogue Generation,Twitter Dialogue (Noun),MrRNN Act.-Ent.,F1,4.63,,,,4.63,4.63,4.63,4.63,4.52,,,,4.45,4.59,4.48,4.48
Natural Language Processing,Dialogue,Dialogue Generation,Twitter Dialogue (Tense),MrRNN Act.-Ent.,Accuracy,0.34,,,,0.34,0.34,0.34,0.34,0.19,,,,0.05,0.19,0.15,0.15
Natural Language Processing,Chunking,Chunking,Penn Treebank,Flair embeddings,F1 score,95.57,,,,95.77,95.77,96.72,96.72,96.34,,,,97.94,97.94,97.5,97.5
Natural Language Processing,Paraphrase Identification,Paraphrase Identification,Quora Question Pairs,MT-DNN,Accuracy,88.17,,,,,89.06,89.06,89.6,88.86,,,,,91.07,89.76,90.3
Natural Language Processing,Sentiment Analysis,Aspect-Based Sentiment Analysis,SemEval 2014 Task 4 Sub Task 2,HAPN,Restaurant (Acc),75.63,,,75.63,80.95,80.95,82.23,82.23,76.2,,,77.25,82.74,82.76,82.86,82.86
Natural Language Processing,Sentiment Analysis,Aspect-Based Sentiment Analysis,Sentihood,Liu et al.,Aspect,69.3,,,,69.3,69.3,78.5,78.5,69.81,,,,70.79,70.83,79.09,79.09
Natural Language Processing,Constituency Parsing,Constituency Parsing,Penn Treebank,CNN Large + fine-tune,F1 score,92.1,,92.1,92.1,93.8,94.66,95.13,95.6,92.83,,99.75,94.17,95.92,96.8,95.89,96.36
Natural Language Processing,Language Acquisition,Language Acquisition,SLAM 2018,Context Based Model,AUC,0.82,,,,,,0.82,0.82,0.68,,,,,,0.64,0.64
Natural Language Processing,Ad-Hoc Information Retrieval,Ad-Hoc Information Retrieval,TREC Robust04,Anserini BM25+RM3,MAP,0.28,,,,,0.28,0.3,0.3,0.13,,,,,0.13,0.11,0.11
Natural Language Processing,Chinese,Chinese Word Segmentation,MSRA,Pre-trained+bigram+ LSTM+CRF,F1,97.4,,,97.4,97.4,97.4,97.4,97.4,98.18,,,99.61,99.61,99.61,98.18,98.18
Natural Language Processing,Grammatical Error Correction,Grammatical Error Correction,Restricted,SMT + BiGRU,F0.5,54.79,,,,,,72.04,72.04,55.16,,,,,,72.57,72.57
Natural Language Processing,Grammatical Error Correction,Grammatical Error Correction,Unrestricted,CNN Seq2Seq + Fluency Boost,F0.5,76.88,,,,,,76.88,76.88,77.47,,,,,,77.46,77.46
Natural Language Processing,Grammatical Error Correction,Grammatical Error Correction,_Restricted_,SMT + BiGRU,GLEU,57.47,,,,,,61.5,61.5,57.87,,,,,,61.92,61.92
Natural Language Processing,Question Answering,Open-Domain Question Answering,SearchQA,DecaProp,N-gram F1,22.8,,,,22.8,22.8,70.8,70.8,22.87,,,,23.09,23.2,71.32,71.32
Natural Language Processing,Question Answering,Open-Domain Question Answering,Quasar,Denoising QA,EM (Quasar-T),26.4,,,,26.4,26.4,42.2,42.2,26.5,,,,26.78,26.89,42.43,42.43
Natural Language Processing,Dialogue,Dialogue State Tracking,Second dialogue state tracking challenge,StateNet,Joint,73.4,,,,73.4,73.4,75.5,75.5,73.95,,,,74.99,75.03,76.06,76.06
Natural Language Processing,Dialogue,Dialogue State Tracking,Wizard-of-Oz,StateNet,Joint,84.4,,,,84.4,84.4,88.9,88.9,85.06,,,,86.28,86.3,89.6,89.6
Natural Language Processing,Text Classification,Emotion Classification,SemEval 2018 Task 1E-c,Transformer (finetune),Macro-F1,56.1,,,,,,56.1,56.1,56.49,,,,,,56.47,56.47
Natural Language Processing,Sentiment Analysis,Multimodal Sentiment Analysis,MOSI,MMMU-BA,Accuracy,0.8,,,,,0.8,0.82,0.82,0.66,,,,,0.67,0.64,0.64
Natural Language Processing,Amr Parsing,Amr Parsing,LDC2014T12:,Transition-based+improved aligner+ensemble,F1 Newswire,0.7,,,,0.71,0.71,0.73,0.73,0.56,,,,0.43,0.57,0.55,0.55
Natural Language Processing,Subjectivity Analysis,Subjectivity Analysis,SUBJ,AdaSent,Accuracy,95.5,,,95.5,95.5,95.5,95.5,95.5,96.26,,,97.66,97.66,97.66,96.26,96.26
Natural Language Processing,Text Generation,Data-to-Text Generation,E2E NLG Challenge,S_1^R,BLEU,64.22,,,,,64.22,66.19,68.6,64.68,,,,,65.63,66.66,69.09
Natural Language Processing,Text Generation,Data-to-Text Generation,Rotowire (Content Selection),Neural Content Planning + conditional copy,Precision,0.29,,,,,0.29,0.34,0.34,0.14,,,,,0.14,0.15,0.15
Natural Language Processing,Text Generation,Data-to-Text Generation,RotoWire (Content Ordering),Neural Content Planning + conditional copy,DLD,0.15,,,,,0.15,0.19,0.19,0,,,,,0,0,0
Natural Language Processing,Text Generation,Data-to-Text Generation,RotoWire (Relation Generation),Neural Content Planning + conditional copy,Precision,0.75,,,,,0.75,0.87,0.87,0.61,,,,,0.61,0.69,0.69
Natural Language Processing,Text Generation,Data-to-Text Generation,RotoWire,Neural Content Planning + conditional copy,BLEU,14.19,,,,,14.19,16.5,16.5,14.17,,,,,14.38,16.47,16.47
Natural Language Processing,Text Generation,Data-to-Text Generation,SR11Deep,GCN + feat,BLEU,0.67,,,,,,0.67,0.67,0.52,,,,,,0.48,0.48
