Area,Parent Task,Task,Dataset,Best method name,,earliest,latest,earliest scaled,earliest  Percentile ( low/ high),latest scaled,earliest  Percentile ( low/ high)
Natural Language Processing,Cross-Lingual,Cross-Lingual Document Classification,MLDoc Zero-Shot English-to-Spanish,Massively Multilingual Sentence Embeddings,,73,77,0.74,Low,0.78,Low
Natural Language Processing,Cross-Lingual,Cross-Lingual Document Classification,MLDoc Zero-Shot English-to-French,Massively Multilingual Sentence Embeddings,,75,78,0.76,Low,0.79,Low
Natural Language Processing,Cross-Lingual,Cross-Lingual Document Classification,MLDoc Zero-Shot English-to-German,Massively Multilingual Sentence Embeddings,,81,85,0.82,Low,0.86,Low
Natural Language Processing,Natural Language Inference,Cross-Lingual Natural Language Inference,XNLI Zero-Shot English-to-Spanish,BERT,,69,74,0.70,Low,0.75,Low
Natural Language Processing,Natural Language Inference,Cross-Lingual Natural Language Inference,XNLI Zero-Shot English-to-German,BiLSTM,,68,73,0.69,Low,0.74,Low
Natural Language Processing,Natural Language Inference,Cross-Lingual Natural Language Inference,XNLI Zero-Shot English-to-French,BiLSTM,,68,72,0.69,Low,0.73,Low
Natural Language Processing,CCG Supertagging,CCG Supertagging,CCGBank,Clark et al.,,9470,9610,95.46,High,96.88,High
Natural Language Processing,Dialogue,Dialogue Act Classification,Switchboard corpus,CRF-ASN,,7920,8130,79.84,High,81.96,High
Natural Language Processing,Dialogue,Dialogue Act Classification,ICSI Meeting Recorder Dialog Act (MRDA) corpus,CRF-ASN,,9090,9170,91.63,High,92.44,High
Natural Language Processing,Entity Resolution,Entity Resolution,CoNLL 2003 (English),deep joint entity disambiguation w/ neural attention,,9222,9222,92.96,High,92.96,High
Natural Language Processing,Query Wellformedness,Query Wellformedness,Query Wellformedness,"word-1, 2 POS-1, 2, 3",,7070,7070,71.27,High,71.27,High
Natural Language Processing,Lexical Normalization,Lexical Normalization,LexNorm,MoNoise,,8763,8763,88.34,High,88.34,High
