Area,Parent Task,Task,Dataset,Best method name,Primary metric,Primary metric - is higher better?,Metric first reported value,Metric SOTA value in 2013,Metric SOTA value in 2014,Metric SOTA value in 2015,Metric SOTA value in 2016,Metric SOTA value in 2017,Metric SOTA value in 2018,Metric SOTA value in 2019,Papers all time,Papers in 2013,Papers in 2014,Papers in 2015,Papers in 2016,Papers in 2017,Papers in 2018,Papers in 2019,Papers with code all time,Papers with code in 2013,Papers with code in 2014,Papers with code in 2015,Papers with code in 2016,Papers with code in 2017,Papers with code in 2018,Papers with code in 2019
Natural Language Processing,Language Modelling,Language Modelling,Sequential MNIST,Trellis Network,Accuracy,TRUE,99.2,,,,,,99.2,99.2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Natural Language Processing,Question Answering,Question Answering,SQuAD1.1,BERT (ensemble),EM,TRUE,67.901,,,,75.034,82.283,87.433,87.433,32,0,0,0,8,18,6,0,18,0,0,0,5,10,3,0
Natural Language Processing,Question Answering,Question Answering,SQuAD2.0,BERT + DAE + AoA (ensemble),EM,TRUE,70.3,,,,,71.316,83.536,87.147,6,0,0,0,0,2,4,0,5,0,0,0,0,2,3,0
Natural Language Processing,Question Answering,Question Answering,CNN / Daily Mail,GA+MAGE (32),CNN,TRUE,69.4,,,69.4,77.9,78.6,78.6,78.6,11,0,0,1,9,1,0,0,7,0,0,1,6,0,0,0
Natural Language Processing,Question Answering,Question Answering,WikiQA,HyperQA,MAP,TRUE,0.5976,,0.652,0.6886,0.709,0.712,0.712,0.712,10,0,2,1,6,1,0,0,7,0,2,1,3,1,0,0
Natural Language Processing,Question Answering,Question Answering,bAbi,QRN,Accuracy (trained on 10k),TRUE,93.40%,,,93.40%,99.70%,99.70%,99.70%,99.70%,9,0,0,1,4,3,1,0,6,0,0,1,2,3,0,0
Natural Language Processing,Question Answering,Question Answering,Children's Book Test,GPT-2,Accuracy-CN,TRUE,68.90%,,,,71.90%,71.90%,71.90%,93.30%,6,0,0,0,5,0,0,1,5,0,0,0,4,0,0,1
Natural Language Processing,Question Answering,Question Answering,CoQA,BERT Large Augmented (single model),In-domain,TRUE,67,,,,,,82.5,82.5,5,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0
Natural Language Processing,Question Answering,Question Answering,QASent,Attentive LSTM,MAP,TRUE,0.6762,,0.7113,0.7339,0.7339,0.7339,0.7339,0.7339,3,0,2,1,0,0,0,0,3,0,2,1,0,0,0,0
Natural Language Processing,Question Answering,Question Answering,NarrativeQA,ConZNet,Rouge-L,TRUE,36.74,,,,36.74,36.74,46.67,46.67,6,0,0,0,1,1,4,0,4,0,0,0,1,1,2,0
Natural Language Processing,Question Answering,Question Answering,SemEvalCQA,HyperQA,P@1,TRUE,0.753,,,0.753,0.755,0.809,0.809,0.809,5,0,0,1,3,1,0,0,2,0,0,1,0,1,0,0
Natural Language Processing,Question Answering,Question Answering,YahooCQA,HyperQA,P@1,TRUE,0.568,,,,0.568,0.683,0.683,0.683,2,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
Natural Language Processing,Question Answering,Question Answering,TriviaQA,MemoReader,EM,TRUE,46.94,,,,,66.37,67.21,67.21,5,0,0,0,0,4,1,0,2,0,0,0,0,2,0,0
Natural Language Processing,Question Answering,Question Answering,AI2 Kaggle Dataset,IR Baseline,P@1,FALSE,47.2,,,,,47.2,47.2,47.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Natural Language Processing,Question Answering,Question Answering,MS MARCO,Masque Q&A Style,Rouge-L,TRUE,23.96,,,,23.96,23.96,52.01,52.2,4,0,0,0,1,0,2,1,1,0,0,0,1,0,0,0
Natural Language Processing,Question Answering,Question Answering,NewsQA,DecaProp,F1,TRUE,56.1,,,,,56.1,66.3,66.3,4,0,0,0,0,1,3,0,3,0,0,0,0,1,2,0
Natural Language Processing,Question Answering,Question Answering,TrecQA,HyperQA,MAP,TRUE,0.711,,0.711,0.711,0.7588,0.77,0.77,0.77,4,0,1,0,1,1,1,0,2,0,1,0,0,1,0,0
Natural Language Processing,Question Answering,Question Answering,WikiHop,CFC,Test,TRUE,42.9,,,,,42.9,59.3,70.6,4,0,0,0,0,1,2,1,1,0,0,0,0,0,1,0
Natural Language Processing,Question Answering,Question Answering,Story Cloze Test,Finetuned Transformer LM,Accuracy,TRUE,78.7,,,,78.7,78.7,78.7,78.7,3,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0
Natural Language Processing,Question Answering,Question Answering,WebQuestions,Memory Networks (ensemble),F1,TRUE,29.70%,,39.20%,42.20%,42.20%,42.20%,42.20%,42.20%,3,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0
Natural Language Processing,Question Answering,Question Answering,CliCR,Gated-Attention Reader,F1,TRUE,33.9,,,,,,33.9,33.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Natural Language Processing,Question Answering,Question Answering,RACE,Finetuned Transformer LM,RACE-m,TRUE,60.2,,,,,,60.2,60.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Natural Language Processing,Question Answering,Question Answering,Reverb,Weakly Supervised Embeddings,Accuracy,TRUE,73%,,73%,73%,73%,73%,73%,73%,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
Natural Language Processing,Question Answering,Question Answering,MCTest-500,Parallel-Hierarchical,Accuracy,TRUE,71%,,,,71%,71%,71%,71%,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Natural Language Processing,Question Answering,Question Answering,Quora Question Pairs,BERT (single model),Accuracy,TRUE,72.10%,,,,,,72.10%,72.10%,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Natural Language Processing,Question Answering,Question Answering,COMPLEXQUESTIONS,WebQA,F1,FALSE,53.6,,,,,53.6,53.6,53.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Natural Language Processing,Question Answering,Question Answering,QuAC,FlowQA (single model),F1,TRUE,64.1,,,,,,64.1,64.1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Natural Language Processing,Question Answering,Question Answering,Natural Questions,BERT-joint,F1 (Long),TRUE,66.2,,,,,,,66.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Natural Language Processing,Question Answering,Question Answering,SimpleQuestions,Memory Networks (ensemble),F1,TRUE,63.90%,,,63.90%,63.90%,63.90%,63.90%,63.90%,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Natural Language Processing,Question Answering,Question Answering,MCTest-160,"syntax, frame, coreference, and word embedding features",Accuracy,TRUE,75.27%,,,,75.27%,75.27%,75.27%,75.27%,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,SST-2 Binary classification,MT-DNN,Accuracy,TRUE,85.4,85.4,85.4,87.8,89.7,93.2,93.2,95.6,21,1,0,1,2,5,10,2,15,0,0,1,1,4,8,1
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,SST-5 Fine-grained classification,EDD-LG (shared),Accuracy,TRUE,45.7,45.7,49.6,49.6,49.6,53.7,64.4,64.4,16,1,1,1,0,3,10,0,9,0,1,1,0,2,5,0
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,Yelp Binary classification,ULMFiT,Error,FALSE,4.88,,,4.88,2.9,2.64,2.16,2.16,13,0,0,1,2,3,6,1,10,0,0,1,1,2,5,1
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,IMDb,ULMFiT,Accuracy,TRUE,92.33,,92.33,92.33,94.1,94.99,95.4,95.4,11,0,1,0,2,3,5,0,10,0,1,0,1,3,5,0
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,Yelp Fine-grained classification,ULMFiT,Error,FALSE,37.95,,,37.95,32.39,30.58,29.98,29.98,11,0,0,1,2,1,6,1,9,0,0,1,1,1,5,1
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,MR,MEAN,Accuracy,TRUE,78.26,,,,,78.26,84.5,84.5,9,0,0,0,0,1,7,1,7,0,0,0,0,1,5,1
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,Amazon Review Full,DRNN,Accuracy,TRUE,60.2,,,,60.2,60.2,64.43,64.43,6,0,0,0,1,0,5,0,5,0,0,0,1,0,4,0
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,Amazon Review Polarity,DRNN,Accuracy,TRUE,94.6,,,,94.6,94.6,96.49,96.49,6,0,0,0,1,0,5,0,5,0,0,0,1,0,4,0
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,Multi-Domain Sentiment Dataset,Distributional Correspondence Indexing,DVD,TRUE,75.4,,,76.57,76.57,76.57,81,81,5,0,0,2,0,1,2,0,2,0,0,1,0,0,1,0
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,CR,Block-sparse LSTM,Accuracy,TRUE,92.2,,,,,92.2,92.2,92.2,3,0,0,0,0,1,2,0,3,0,0,0,0,1,2,0
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,SemEval,LSTMs+CNNs ensemble with multiple conv. ops ,F1-score,TRUE,0.685,,,,,0.685,0.685,0.685,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,MPQA,USE_T+DAN (w2v w.e.) ,Accuracy,TRUE,88.14,,,,,,88.14,88.14,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Natural Language Processing,Sentiment Analysis,Sentiment Analysis,Sogou News,fastText,Accuracy,TRUE,96.8,,,,96.8,96.8,96.8,96.8,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Natural Language Processing,Text Classification,Text Classification,AG News,L MIXED,Error,FALSE,9.51,,,9.51,6.57,6.57,5.01,4.95,17,0,0,1,3,1,10,2,15,0,0,1,2,1,9,2
Natural Language Processing,Text Classification,Text Classification,DBpedia,L MIXED,Error,FALSE,1.55,,,1.55,0.84,0.84,0.8,0.7,15,0,0,1,3,2,8,1,12,0,0,1,2,1,7,1
Natural Language Processing,Text Classification,Text Classification,TREC-6,USE_T+CNN,Error,FALSE,4,,,4,3.9,3.9,1.93,1.93,10,0,0,2,1,2,5,0,8,0,0,1,0,2,5,0
Natural Language Processing,Text Classification,Text Classification,Yahoo! Answers,DRNN,Accuracy,TRUE,72.3,,,,72.3,72.3,76.26,76.26,6,0,0,0,1,0,5,0,5,0,0,0,1,0,4,0
Natural Language Processing,Text Classification,Text Classification,Ohsumed,SGCN,Accuracy,TRUE,36.2,,,,,36.2,68.36,68.5,3,0,0,0,0,1,1,1,3,0,0,0,0,1,1,1
Natural Language Processing,Text Classification,Text Classification,R52,SGCN,Accuracy,TRUE,93.56,,,,,,93.56,94,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1
Natural Language Processing,Text Classification,Text Classification,20NEWS,SGCN,Accuracy,TRUE,86.34,,,,,,86.34,88.5,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1
Natural Language Processing,Text Classification,Text Classification,R8,SGCN,Accuracy,TRUE,97.07,,,,,,97.07,97.2,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1
Natural Language Processing,Text Classification,Text Classification,TREC-50,Rules,Error,FALSE,2.8,,,,2.8,2.8,2.8,2.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Natural Language Processing,Text Classification,Text Classification,Sogou News,CCCapsNet,Accuracy,TRUE,97.25,,,,,,97.25,97.25,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Natural Language Processing,Text Classification,Text Classification,IMDb,L MIXED,Accuracy,TRUE,95.68,,,,,,,95.68,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Natural Language Processing,Natural Language Inference,Natural Language Inference,SNLI,MT-DNN,% Test Accuracy,TRUE,78.2,,,86.1,88.6,89.3,90.1,91.1,42,0,0,5,9,11,16,1,25,0,0,3,6,8,7,1
Natural Language Processing,Natural Language Inference,Natural Language Inference,MultiNLI,MT-DNN,Matched,TRUE,71.4,,,,,,73.9,86.7,4,0,0,0,0,0,3,1,3,0,0,0,0,0,2,1
Natural Language Processing,Natural Language Inference,Natural Language Inference,SciTail,MT-DNN,Accuracy,TRUE,83.3,,,,,83.3,92,94.1,4,0,0,0,0,1,2,1,3,0,0,0,0,0,2,1
Natural Language Processing,Natural Language Inference,Natural Language Inference,V-SNLI,V-BiMPM,Accuracy,TRUE,86.99,,,,,,86.99,86.99,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Natural Language Processing,Natural Language Inference,Natural Language Inference,Quora Question Pairs,aESIM,Accuracy,TRUE,88.01,,,,,,88.01,88.01,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),CoNLL 2003 (English),CNN Large + fine-tune,F1,TRUE,91.21,,,,91.21,91.93,93.09,93.5,18,0,0,0,2,3,12,1,15,0,0,0,2,2,11,0
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),Ontonotes v5 (English),Flair embeddings,F1,TRUE,86.99,,,,,86.99,89.71,89.71,4,0,0,0,0,1,3,0,3,0,0,0,0,1,2,0
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),JNLPBA,CollaboNet,F1,TRUE,78.58,,,,,,78.58,78.58,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),BC5CDR,SciBERT (SciVocab),F1,TRUE,87.12,,,,,,87.12,88.94,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),Long-tail emerging entities,Flair embeddings,F1,TRUE,40.78,,,,,40.78,50.2,50.2,3,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),SciERC,SciBERT (SciVocab),F1,TRUE,64.2,,,,,,64.2,65.5,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1
Natural Language Processing,Named Entity Recognition (NER),Named Entity Recognition (NER),NCBI-disease,SciBERT (Base Vocab),F1,TRUE,86.91,,,,,,,86.91,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Natural Language Processing,Text Generation,Text Generation,EMNLP2017 WMT,LeakGAN,BLEU-2,TRUE,0.859,,,,0.859,0.956,0.956,0.956,3,0,0,0,1,2,0,0,2,0,0,0,1,1,0,0
Natural Language Processing,Text Generation,Text Generation,COCO Captions,LeakGAN,BLEU-2,TRUE,0.831,,,,0.831,0.95,0.95,0.95,3,0,0,0,1,2,0,0,2,0,0,0,1,1,0,0
Natural Language Processing,Text Generation,Text Generation,Chinese Poems,LeakGAN,BLEU-2,TRUE,0.738,,,,0.738,0.881,0.881,0.881,3,0,0,0,1,2,0,0,2,0,0,0,1,1,0,0
Natural Language Processing,Text Generation,Text Generation,Yahoo Questions,Aggressive VAE,NLL,FALSE,332.1,,,,,332.1,327.5,326.7,3,0,0,0,0,1,1,1,3,0,0,0,0,1,1,1
Natural Language Processing,Text Generation,Text Generation,CMU-SE,STWGAN-GP,BLEU-3,TRUE,0.617,,,,,,0.617,0.617,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Natural Language Processing,Text Generation,Text Generation,DailyDialog,AEM+Attention,BLEU-1,TRUE,14.17,,,,,,14.17,14.17,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Natural Language Processing,Text Generation,Text Generation,LDC2016E25,Graph2Seq,BLEU,TRUE,22,,,,,,22,22,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Natural Language Processing,Dependency Parsing,Dependency Parsing,Penn Treebank,CVT + Multi-Task,UAS,TRUE,93.99,,,93.99,95.44,95.44,96.61,96.61,8,0,0,1,5,0,2,0,5,0,0,0,3,0,2,0
Natural Language Processing,Dependency Parsing,Dependency Parsing,GENIA - LAS,BiLSTM-CRF,F1,TRUE,91.92,,,,,,91.92,91.92,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1
Natural Language Processing,Dependency Parsing,Dependency Parsing,GENIA - UAS,BiLSTM-CRF,F1,TRUE,92.84,,,,,,92.84,92.84,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1
Natural Language Processing,Relation Extraction,Relation Extraction,TACRED,TRE,F1,TRUE,65.1,,,,,65.1,66.4,67.4,4,0,0,0,0,1,1,2,4,0,0,0,0,1,1,2
Natural Language Processing,Relation Extraction,Relation Extraction,ChemProt,SciBERT (SciVocab),F1,TRUE,76.12,,,,,,,76.12,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Natural Language Processing,Relation Extraction,Relation Extraction,SciERC,SciBERT (SciVocab),F1,TRUE,74.64,,,,,,,74.64,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Natural Language Processing,Semantic Textual Similarity,Semantic Textual Similarity,SentEval,GenSen,MRPC,TRUE,76.2/83.1,,,,,76.2/83.1,78.6/84.4,78.6/84.4,2,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0
Natural Language Processing,Semantic Textual Similarity,Semantic Textual Similarity,STS Benchmark,USE_T,Pearson Correlation,TRUE,0.782,,,,,,0.782,0.782,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Natural Language Processing,Part-Of-Speech Tagging,Part-Of-Speech Tagging,Penn Treebank,Meta BiLSTM,Accuracy,TRUE,97.78,,,97.78,97.78,97.78,97.96,97.96,13,0,0,1,4,4,4,0,10,0,0,1,2,3,4,0
Natural Language Processing,Part-Of-Speech Tagging,Part-Of-Speech Tagging,UD,Adversarial Bi-LSTM,Avg accuracy,TRUE,96.4,,,,96.4,96.73,96.73,96.73,3,0,0,0,1,2,0,0,2,0,0,0,1,1,0,0
Natural Language Processing,Part-Of-Speech Tagging,Part-Of-Speech Tagging,Social media,GATE,Accuracy,TRUE,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natural Language Processing,Semantic Parsing,Semantic Parsing,spider,Exact Set Matching,Accuracy,TRUE,19.7,,,,,,19.7,19.7,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Natural Language Processing,Text Classification,Document Classification,WOS-11967,RMDL,Accuracy,TRUE,86.07,,,,,86.07,91.59,91.59,2,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0
Natural Language Processing,Text Classification,Document Classification,WOS-46985,RMDL,Accuracy,TRUE,76.58,,,,,76.58,90.69,90.69,2,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0
Natural Language Processing,Text Classification,Document Classification,WOS-5736,RMDL,Accuracy,TRUE,90.93,,,,,90.93,93.57,93.57,2,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0
Natural Language Processing,Text Classification,Document Classification,Reuters-21578,RMDL,Accuracy,TRUE,90.69,,,,,,90.69,90.69,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Natural Language Processing,Text Classification,Document Classification,IMDb,RMDL,Accuracy,TRUE,90.79,,,,,,90.79,90.79,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Natural Language Processing,Text Classification,Document Classification,20NEWS,RMDL,Accuracy,TRUE,87.91,,,,,,87.91,87.91,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Natural Language Processing,Semantic Role Labeling,Semantic Role Labeling,OntoNotes,BiLSTM-Span (Ensemble),F1,TRUE,81.7,,,,,82.7,87,87,6,0,0,0,0,2,3,1,5,0,0,0,0,2,2,1
Natural Language Processing,Semantic Role Labeling,Semantic Role Labeling,CoNLL 2005,BiLSTM-Span (Ensemble),F1,TRUE,86.04,,,,,,88.5,88.5,3,0,0,0,0,0,2,1,3,0,0,0,0,0,2,1
Natural Language Processing,Coreference Resolution,Coreference Resolution,CoNLL 2012,"(Lee et al., 2017)+ELMo",Avg F1,TRUE,67.2,,,,,67.2,73,73,3,0,0,0,0,1,2,0,2,0,0,0,0,1,1,0
Natural Language Processing,Text Summarization,Text Summarization,GigaWord,FTSum_g,ROUGE-1,TRUE,36.4,,,,36.4,37.27,37.27,37.27,12,0,0,0,2,4,6,0,1,0,0,0,1,0,0,0
Natural Language Processing,Text Summarization,Text Summarization,DUC 2004 Task 1,EndDec+WFE,ROUGE-1,TRUE,28.61,,,,28.97,32.28,32.28,32.28,6,0,0,0,2,3,1,0,1,0,0,0,1,0,0,0
Natural Language Processing,Word Sense Disambiguation,Word Sense Disambiguation,Supervised:,MFS baseline,Senseval 2,FALSE,72,,,,,72,71.6,71.6,4,0,0,0,0,1,3,0,1,0,0,0,0,0,1,0
Natural Language Processing,Word Sense Disambiguation,Word Sense Disambiguation,SensEval 2,"SemCor+WNGT, vocabulary reduced, ensemble",F1,TRUE,74.4,,,,74.4,74.4,75.15,75.15,3,0,0,0,1,0,2,0,2,0,0,0,0,0,2,0
Natural Language Processing,Word Sense Disambiguation,Word Sense Disambiguation,SemEval 2013 Task 12,"SemCor+WNGT, vocabulary reduced, ensemble",F1,TRUE,69.5,,,,69.5,69.5,72.63,72.63,3,0,0,0,1,0,2,0,2,0,0,0,0,0,2,0
Natural Language Processing,Word Sense Disambiguation,Word Sense Disambiguation,SensEval 3 Task 1,"LSTMLP (T:SemCor, U:1K)",F1,TRUE,71.8,,,,71.8,71.8,71.8,71.8,3,0,0,0,1,0,2,0,2,0,0,0,0,0,2,0
