Area,Parent Task,Task,Dataset,Best method name,Primary metric,Primary metric - is higher better?,Metric first reported value,2013,2014,2015,2016,2017,2018,2019
Computer Vision,Crowds,Crowd Counting,ShanghaiTech A,Cascaded-MTL,MAE,FALSE,101.3,,,,,101.3,101.3,101.3
Computer Vision,Crowds,Crowd Counting,ShanghaiTech B,Cascaded-MTL,MAE,FALSE,20,,,,,20,20,20
Computer Vision,Facial Recognition and Modelling,3D Face Reconstruction,Florence,PRN,Mean NME ,FALSE,0.06,,,0.06,0.06,0.05,0.04,0.04
Computer Vision,Facial Recognition and Modelling,3D Face Reconstruction,AFLW2000-3D,PRN,Mean NME ,FALSE,0.05,,,0.05,0.05,0.05,0.04,0.04
Computer Vision,Facial Recognition and Modelling,Face Generation,CelebA,COCO-GAN,FID,FALSE,7.3,,,,,7.3,7.3,5.74
Computer Vision,Gaze Estimation,Gaze Estimation,MPII Gaze,RT-GENE 4 model ensemble,Angular Error,FALSE,4.3,,,,,,4.3,4.3
Computer Vision,Gaze Estimation,Gaze Estimation,RT-GENE,RT-GENE 4 model ensemble,Angular Error,FALSE,7.7,,,,,,7.7,7.7
Computer Vision,Gaze Estimation,Gaze Estimation,UT Multi-view,RT-GENE 4 model ensemble,Angular Error,FALSE,5.1,,,,,,5.1,5.1
Computer Vision,Facial Recognition and Modelling,Facial Landmark Detection,300W,SAN GT,NME,FALSE,6.3,,,,,6.3,3.98,3.98
Computer Vision,Facial Recognition and Modelling,Facial Landmark Detection,AFLW-Full,SAN,Mean NME ,FALSE,1.91,,,,,,1.91,1.91
Computer Vision,Facial Recognition and Modelling,Facial Landmark Detection,AFLW-Front,SAN,Mean NME ,FALSE,1.85,,,,,,1.85,1.85
Computer Vision,Object Localization,Weakly-Supervised Object Localization, CUB-200-2011,SPG,Top-1 Error Rate,FALSE,53.36,,,,,,53.36,53.36
Computer Vision,Object Localization,Weakly-Supervised Object Localization,ILSVRC 2015,SPG,Top-1 Error Rate,FALSE,51.4,,,,,,51.4,51.4
Computer Vision,Object Localization,Weakly-Supervised Object Localization,ILSVRC 2016,SPG,Top-5 Error,FALSE,40,,,,,,40,40
Computer Vision,Image Classification,Fine-Grained Image Classification,Caltech-101,AutoAugment,Top-1 Error Rate,FALSE,0.13,,,,,,0.13,0.13
Computer Vision,Image Classification,Fine-Grained Image Classification,Oxford-IIIT Pets,AutoAugment,Top-1 Error Rate,FALSE,0.11,,,,,,0.11,0.11
Computer Vision,Image Generation,Text-to-Image Generation,Oxford 102 Flowers,StackGAN-v2,FID,FALSE,48.68,,,,,48.68,48.68,48.68
Computer Vision,Pose Estimation,Head Pose Estimation,BIWI,Multi-Loss ResNet50,MAE,FALSE,19.07,,,19.07,19.07,4.9,4.9,4.9
Computer Vision,Pose Estimation,Head Pose Estimation,AFLW2000,Multi-Loss ResNet50,MAE,FALSE,7.39,,,7.39,7.39,6.16,6.16,6.16
Computer Vision,Facial Recognition and Modelling,Age Estimation,FGNET,CMAAE-OR,MAE,FALSE,3.62,,,,,,3.62,3.62
Computer Vision,Facial Recognition and Modelling,Age Estimation,MORPH,CMAAE-OR,MAE,FALSE,1.48,,,,,,1.48,1.48
Computer Vision,Facial Recognition and Modelling,Age Estimation,ChaLearn 2015,DLDL+VGG-Face,MAE,FALSE,3.51,,,,3.51,3.51,3.51,3.51
Computer Vision,Dense Pixel Correspondence Estimation,Dense Pixel Correspondence Estimation,HPatches,DGC-Net aff+tps+homo,Viewpoint I AEPE,FALSE,5.84,,,5.84,5.84,4.43,1.55,1.55
Computer Vision,Facial Recognition and Modelling,Face Anti-Spoofing,MSU-MFSD,GFA-CNN,Equal Error Rate,FALSE,0.11,,,0.11,0.11,0.11,0.11,0.08
Computer Vision,Facial Recognition and Modelling,Facial Beauty Prediction,SCUT-FBP,CNN features + Bayesian ridge regression,MAE,FALSE,0.39,,,,,,0.26,0.26
Computer Vision,Instance Segmentation,One-Shot Instance Segmentation,COCO,Siamese Mask R-CNN,AP 0.5,FALSE,14.5,,,,,,14.5,14.5
