Area,Parent Task,Task,Dataset,Best method name,Primary metric,Primary metric - is higher better ?,Earliest reported value,Latest reported value,Earliest reported value scaled,earliest  Percentile ( low/ high),Latest reported value scaled,Latest Percentile  ( low/ high),Bucket
Computer Vision,Image Classification,Few-Shot Image Classification,Mini-ImageNet - 1-Shot Learning,MetaOptNet-SVM,Accuracy,TRUE,0.44,0.63,0.43,Low,0.24,low,1
Computer Vision,Image Classification,Few-Shot Image Classification,OMNIGLOT - 1-Shot Learning,Prototypical-Nets,Accuracy,TRUE,0.98,0.99,0.98,Low,0.4,low,1
Computer Vision,Image Classification,Few-Shot Image Classification,OMNIGLOT - 5-Shot Learning,MAML,Accuracy,TRUE,1,1,1,Low,0.4,low,1
Computer Vision,Image Classification,Few-Shot Image Classification,CUB-200 - 0-Shot Learning,Prototypical-Nets,Accuracy,TRUE,0.5,0.55,0.49,Low,0.2,low,1
Computer Vision,Video,Video Super-Resolution,Vid4 - 4x upscaling,VSR-DUF,PSNR,TRUE,24.68,27.31,24.85,High,12.37,High,4
Computer Vision,Video,Video Super-Resolution,Xiph HD - 4x upscaling,ESPCN,Average PSNR,TRUE,31.47,31.67,31.68,High,14.35,High,4
Computer Vision,Video,Video Super-Resolution,Ultra Video Group HD - 4x upscaling,ESPCN,Average PSNR,TRUE,37.52,37.91,37.78,High,17.19,High,4
Computer Vision,Video,Action Recognition In Videos,Charades,LFB NL,MAP,TRUE,24.1,42.5,24.26,High,19.28,High,4
Computer Vision,Object Detection,Weakly Supervised Object Detection,PASCAL VOC 2007,pipeline method,MAP,TRUE,39.3,51.2,39.57,High,23.23,High,4
Computer Vision,Object Detection,Weakly Supervised Object Detection,PASCAL VOC 2012,PCL-OB-G-Ens + FRCNN,MAP,TRUE,35.3,44.2,35.54,High,20.05,High,4
Computer Vision,Object Detection,Weakly Supervised Object Detection,ImageNet,PCL-OB-G-Ens + FRCNN,MAP,TRUE,16.3,19.6,16.41,High,8.86,low,3
Computer Vision,Object Detection,Weakly Supervised Object Detection,COCO,MSLPD,MAP,TRUE,43.5,56.6,43.8,High,25.69,High,4
Computer Vision,Semantic Segmentation,Scene Segmentation,SUN-RGBD,DeepLab-LargeFOV,Mean IoU,TRUE,32.08,32.08,32.3,High,14.54,High,4
Computer Vision,Semantic Segmentation,Scene Segmentation,ScanNet,3DMV,Average Accuracy,TRUE,0.6,0.75,0.59,Low,0.29,low,1
Computer Vision,Pose Estimation,6D Pose Estimation,LineMOD,PoseCNN + DeepIM,Accuracy,TRUE,0.84,0.98,0.84,Low,0.4,low,1
Computer Vision,Pose Estimation,6D Pose Estimation,OccludedLINEMOD,PoseCNN + ICP,Accuracy,TRUE,0.77,0.78,0.77,Low,0.3,low,1
Computer Vision,Pose Estimation,6D Pose Estimation,YCB-Video,DenseFusion,Mean AUC,TRUE,0.93,0.93,0.93,Low,0.37,low,1
Computer Vision,Pose Estimation,6D Pose Estimation,OCCLUSION,Single-shot deep CNN,MAP,TRUE,0.48,0.48,0.47,Low,0.17,low,1
Computer Vision,Pose Estimation,6D Pose Estimation,T-LESS,RetinaNet+Augmented Autoencoders+ICP,Accuracy,TRUE,57.14,57.14,57.54,High,25.94,High,4
Computer Vision,Image Classification,Semi-Supervised Image Classification,"CIFAR-10, 4000 Labels",SWSA,Accuracy,TRUE,79.6,95,80.16,High,43.15,High,4
Computer Vision,Image Classification,Semi-Supervised Image Classification,"SVHN, 1000 labels",VAT+EntMin,Accuracy,TRUE,91.89,96.14,92.54,High,43.67,High,4
Computer Vision,Image Classification,Semi-Supervised Image Classification,STL-10,IIC,Accuracy,TRUE,88.8,88.8,89.42,High,40.33,High,4
Computer Vision,Emotion Recognition,Multimodal Emotion Recognition,IEMOCAP,CHFusion,F1,TRUE,0.55,0.55,0.54,Low,0.2,low,1
Computer Vision,Emotion Recognition,Multimodal Emotion Recognition,Monologue,bc-LSTM,Accuracy,TRUE,0.74,0.74,0.74,Low,0.29,low,1
Computer Vision,Image-to-Image Translation,Synthetic-to-Real Translation,GTAV-to-Cityscapes Labels,Domain adaptation + ResNet-101,mIoU,TRUE,27.1,43.2,27.28,High,19.6,High,4
Computer Vision,Image Classification,Fine-Grained Image Classification, CUB-200-2011,Inception-V3,Accuracy,TRUE,0.76,89.6,0.76,Low,40.7,High,2
Computer Vision,Image Classification,Fine-Grained Image Classification,Stanford Cars,WS-DAN,Accuracy,TRUE,0.93,0.95,0.93,Low,0.38,low,1
Computer Vision,Image Classification,Fine-Grained Image Classification,FGVC Aircraft,WS-DAN,Accuracy,TRUE,0.91,0.93,0.91,Low,0.37,low,1
Computer Vision,Image Classification,Fine-Grained Image Classification,CompCars,A3M,Accuracy,TRUE,0.91,0.95,0.91,Low,0.38,low,1
Computer Vision,Image Classification,Fine-Grained Image Classification,Stanford Dogs,WS-DAN,Accuracy,TRUE,0.84,92.1,0.84,Low,41.83,High,2
Computer Vision,Image Classification,Fine-Grained Image Classification,Oxford 102 Flowers,PC Bilinear CNN,Accuracy,TRUE,0.94,0.94,0.94,Low,0.38,low,1
Computer Vision,Image Classification,Fine-Grained Image Classification,NABirds,PC-DenseNet-161,Accuracy,TRUE,0.83,0.83,0.83,Low,0.33,low,1
Computer Vision,Hyperspectral,Hyperspectral Image Classification,Indian Pines,BASSNet,Overall Accuracy,TRUE,0.97,0.97,0.97,Low,0.39,low,1
Computer Vision,Hyperspectral,Hyperspectral Image Classification,Pavia University,St-SS-pGRU,Overall Accuracy,TRUE,0.97,0.98,0.97,Low,0.4,low,1
Computer Vision,Autonomous Vehicles,Lane Detection,TuSimple,Spatial CNN,Accuracy,TRUE,0.96,0.97,0.96,Low,0.39,low,1
Computer Vision,Autonomous Vehicles,Lane Detection,Caltech Lanes Washington,VPGNet,F1,TRUE,0.86,0.87,0.86,Low,0.35,low,1
Computer Vision,Autonomous Vehicles,Lane Detection,Caltech Lanes Cordova,VPGNet,F1,TRUE,0.87,0.88,0.87,Low,0.35,low,1
Computer Vision,Image Generation,Text-to-Image Generation,COCO,AttnGAN,Inception score,TRUE,8.45,25.89,8.5,Low,11.72,High,2
Computer Vision,Image Generation,Text-to-Image Generation,CUB,AttnGAN,Inception score,TRUE,3.62,4.36,3.64,Low,1.93,low,1
Computer Vision,Image Generation,Text-to-Image Generation,MS-COCO,AttnGAN+OP,Inception score,TRUE,24.76,24.76,24.93,High,11.21,High,4
Computer Vision,Autonomous Vehicles,Traffic Sign Recognition,Tsinghua-Tencent 100K,Background Threshold Model,MAP,TRUE,0.32,0.32,0.31,Low,0.1,low,1
Computer Vision,Autonomous Vehicles,Traffic Sign Recognition,Bosch Small Traffic Lights,Hierarchical + Background Threshold Model,MAP,TRUE,0.46,0.46,0.45,Low,0.16,low,1
Computer Vision,Autonomous Vehicles,Traffic Sign Recognition,GTSRB,MCDNN,Accuracy,TRUE,1,1,1,Low,0.4,low,1
