Area,Parent Task,Task,Dataset,Best method name,Primary metric,Primary metric - is higher better?,Metric first reported value,Metric SOTA value in 2013,Metric SOTA value in 2014,Metric SOTA value in 2015,Metric SOTA value in 2016,Metric SOTA value in 2017,Metric SOTA value in 2018,Metric SOTA value in 2019,Papers all time,Papers in 2013,Papers in 2014,Papers in 2015,Papers in 2016,Papers in 2017,Papers in 2018,Papers in 2019,Papers with code all time,Papers with code in 2013,Papers with code in 2014,Papers with code in 2015,Papers with code in 2016,Papers with code in 2017,Papers with code in 2018,Papers with code in 2019
Computer Vision,Denoising,Image Denoising,BSD68 sigma70,Residual Dense Network +,PSNR,TRUE,26.56,,,,26.56,26.56,26.88,26.88,3,0,0,0,1,0,2,0,3,0,0,0,1,0,2,0
Computer Vision,Denoising,Image Denoising,BSD68 sigma30,Residual Dense Network +,PSNR,TRUE,30.4,,,,30.4,30.4,30.7,30.7,2,0,0,0,1,0,1,0,2,0,0,0,1,0,1,0
Computer Vision,Denoising,Image Denoising,Urban100 sigma30,Residual Dense Network +,PSNR,TRUE,30.19,,,,,,31.78,31.78,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0
Computer Vision,Denoising,Image Denoising,BSD68 sigma10,Residual Dense Network +,PSNR,TRUE,36.31,,,,36.31,36.31,36.49,36.49,2,0,0,0,1,0,1,0,2,0,0,0,1,0,1,0
Computer Vision,Denoising,Image Denoising,BSD200 sigma50,RED30,PSNR,TRUE,25.75,,,,25.75,25.75,25.75,25.75,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Computer Vision,Denoising,Image Denoising,BSD200 sigma30,RED30,PSNR,TRUE,27.95,,,,27.95,27.95,27.95,27.95,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Computer Vision,Denoising,Image Denoising,BSD200 sigma70,RED30,PSNR,TRUE,24.37,,,,24.37,24.37,24.37,24.37,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Computer Vision,Denoising,Image Denoising,BSD200 sigma10,RED30,PSNR,TRUE,33.63,,,,33.63,33.63,33.63,33.63,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Computer Vision,Image Reconstruction,Image Reconstruction,Edge-to-Shoes,PI-REC,FID,FALSE,0.015,,,,,,,0.015,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Computer Vision,Image Reconstruction,Image Reconstruction,Edge-to-Handbags,PI-REC,FID,FALSE,0.069,,,,,,,0.069,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Computer Vision,Facial Recognition and Modelling,Face Detection,WIDER Face (Hard),DSFD,AP,TRUE,0.29,,0.29,0.4,0.823,0.876,0.9,0.9,14,0,1,1,4,3,5,0,8,0,0,1,3,1,3,0
Computer Vision,Facial Recognition and Modelling,Face Detection,WIDER Face (Easy),DSFD,AP,TRUE,0.695,,0.695,0.716,0.919,0.943,0.96,0.96,12,0,1,1,3,3,4,0,6,0,0,1,2,1,2,0
Computer Vision,Facial Recognition and Modelling,Face Detection,WIDER Face (Medium),DSFD,AP,TRUE,0.588,,0.588,0.636,0.908,0.931,0.953,0.953,12,0,1,1,3,3,4,0,6,0,0,1,2,1,2,0
Computer Vision,Facial Recognition and Modelling,Face Detection,Annotated Faces in the Wild,SRN,AP,TRUE,0.9721,,0.9721,0.9721,0.994,0.9985,0.9987,0.9987,9,0,1,0,3,3,2,0,6,0,0,0,2,3,1,0
Computer Vision,Facial Recognition and Modelling,Face Detection,FDDB,DSFD,AP,TRUE,0.864,,0.864,0.864,0.901,0.99,0.991,0.991,9,0,1,0,1,3,4,0,6,0,0,0,1,2,3,0
Computer Vision,Facial Recognition and Modelling,Face Detection,PASCAL Face,SRN,AP,TRUE,0.9029,,0.9029,0.9029,0.962,0.9849,0.9909,0.9909,7,0,1,0,2,2,2,0,4,0,0,0,1,2,1,0
Computer Vision,Object Localization,Object Localization,KITTI Cyclists Easy,Frustum PointNets,AP,TRUE,66.70%,,,,,75.38%,75.38%,75.38%,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0
Computer Vision,Object Localization,Object Localization,KITTI Pedestrians Easy,Frustum PointNets,AP,TRUE,46.13%,,,,,58.09%,58.09%,58.09%,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0
Computer Vision,Object Localization,Object Localization,KITTI Cars Moderate,Frustum PointNets,AP,TRUE,79.26%,,,,,84.00%,84.00%,84.00%,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0
Computer Vision,Object Localization,Object Localization,KITTI Cyclists Hard,Frustum PointNets,AP,TRUE,50.55%,,,,,54.68%,54.68%,54.68%,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0
Computer Vision,Object Localization,Object Localization,KITTI Cyclists Moderate,Frustum PointNets,AP,TRUE,54.76%,,,,,61.96%,61.96%,61.96%,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0
Computer Vision,Object Localization,Object Localization,KITTI Cars Hard,VoxelNet,AP,TRUE,77.39%,,,,,77.39%,77.39%,77.39%,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0
Computer Vision,Object Localization,Object Localization,KITTI Cars Easy,VoxelNet,AP,TRUE,89.35%,,,,,89.35%,89.35%,89.35%,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0
Computer Vision,Object Localization,Object Localization,KITTI Pedestrians Hard,Frustum PointNets,AP,TRUE,38.11%,,,,,47.20%,47.20%,47.20%,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0
Computer Vision,Object Localization,Object Localization,KITTI Pedestrians Moderate,Frustum PointNets,AP,TRUE,40.74%,,,,,50.22%,50.22%,50.22%,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0
Computer Vision,3D,3D Reconstruction,Scan2CAD,Scan2CAD,Average Accuracy,TRUE,10.29%,,,,10.29%,10.29%,31.68%,31.68%,2,0,0,0,1,0,1,0,2,0,0,0,1,0,1,0
Computer Vision,Facial Recognition and Modelling,Face Verification,Labeled Faces in the Wild,"ArcFace + MS1MV2 + R100, ",Accuracy,TRUE,98.52%,,99.47%,99.63%,99.63%,99.63%,99.83%,99.83%,12,0,3,2,1,1,5,0,8,0,0,2,1,1,4,0
Computer Vision,Facial Recognition and Modelling,Face Verification,IJB-A,Dual-Agent GANs,TAR @ FAR=0.01,TRUE,73.30%,,,83.80%,94.10%,97.60%,97.60%,97.60%,12,0,0,2,6,3,1,0,3,0,0,0,1,1,1,0
Computer Vision,Facial Recognition and Modelling,Face Verification,YouTube Faces DB,"SeqFace, 1 ResNet-64",Accuracy,TRUE,93.20%,,93.20%,95.54%,95.54%,96.17%,98.12,98.12,10,0,1,2,1,2,4,0,8,0,0,2,1,2,3,0
Computer Vision,Facial Recognition and Modelling,Face Verification,MegaFace,ArcFace + MS1MV2 + R100 + R,Accuracy,TRUE,86.47%,,,86.47%,86.47%,89.14%,98.48%,98.48%,5,0,0,2,0,1,2,0,4,0,0,2,0,1,1,0
Computer Vision,Facial Recognition and Modelling,Face Verification,IJB-C,AIM,TAR @ FAR=0.01,TRUE,66.50%,,,66.50%,66.50%,66.50%,93.50%,93.50%,3,0,0,1,0,0,2,0,2,0,0,1,0,0,1,0
Computer Vision,Facial Recognition and Modelling,Face Verification,IJB-B,FPN,TAR @ FAR=0.01,TRUE,96.50%,,,,,96.50%,96.50%,96.50%,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Computer Vision,Image Generation,Conditional Image Generation,CIFAR-10,Splitting GAN,Inception score,TRUE,6.58,,,6.58,8.59,8.87,8.87,8.87,7,0,0,1,4,2,0,0,6,0,0,1,4,1,0,0
Computer Vision,Image Generation,Conditional Image Generation,ImageNet 128x128,BigGAN-deep,Inception score,TRUE,28.5,,,,28.5,28.5,166.5,166.5,4,0,0,0,1,0,3,0,4,0,0,0,1,0,3,0
Computer Vision,Scene Text Detection,Scene Text Detection,IC15,FOTS,F-Measure,TRUE,75.61%,,,,,84.14%,87.99%,87.99%,10,0,0,0,0,6,4,0,5,0,0,0,0,4,1,0
Computer Vision,Scene Text Detection,Scene Text Detection,IC17-MLT,PSENet-1s,F-Measure,TRUE,67.25%,,,,,,72.45%,72.45%,3,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0
Computer Vision,Pose Estimation,3D Human Pose Estimation,Human3.6M,Fully supervised EpipolarPose,Average 3D Error,FALSE,88.39,,,,,64.9,59.9,51.8,5,0,0,0,0,3,1,1,5,0,0,0,0,3,1,1
Computer Vision,Pose Estimation,3D Human Pose Estimation,CHALL H80K,ResNet,MPJPE,FALSE,55.3,,,,,,55.3,55.3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Computer Vision,Facial Recognition and Modelling,Face Alignment,AFLW2000-3D,2DASL,Mean NME ,FALSE,4.94%,,,4.94%,4.94%,4.49%,3.62%,3.53%,5,0,0,1,0,2,1,1,2,0,0,0,0,0,1,1
Computer Vision,Facial Recognition and Modelling,Face Alignment,300W,DAN-Menpo + bounding box diagonal normalization,Mean Error Rate,FALSE,1.42,,,,,1.42,1.42,1.42,3,0,0,0,0,1,2,0,2,0,0,0,0,1,1,0
